nom_streamer;plateforme;pays;categorie_contenu;style_stream;moyenne_viewers;pic_viewers;abonnements_mensuels;dons_mensuels_eur;duree_watch_moyenne_min;duree_stream_moyenne_h;frequence_stream_mois;langue;date_creation_compte;date_dernier_stream;revenu_mensuel_eur;partenaire_officiel
BlazingBeacon;TikTok;France;Creation;Humoristique;30;68;19;29.55;56.9;7.63;10;Français;2012-10-02;2025-06-19;77.05;Non
RuneRiftX;TikTok;Suisse;Creation;Esport;651;2129;152;113.22;74.5;4.39;21;Français;2012-04-01;2025-02-04;493.22;Non
SilentZephyrFR;Twitch;Espagne;Tech;Communautaire;690;1566;605;1514.5;92.2;5.64;19;Espagnol;2019-06-05;2025-03-17;3027.0;Non
PrimeVortex_47;Twitch;Espagne;Just Chatting;Competitif;1623;2638;586;527.28;108.8;6.62;21;Espagnol;2014-12-12;2025-10-26;1992.28;Non
CrimsonShardFR;Twitch;Espagne;FPS;Competitif;170;560;51;0.0;51.6;3.91;13;Espagnol;2017-10-27;2025-10-02;127.5;Oui
MysticCircuit_;TikTok;Italie;MMO;Esport;181;380;52;68.88;68.2;5.15;27;Italien;2013-01-18;2025-10-04;198.88;Non
RetroKnightFR;Twitch;Allemagne;Musique;Humoristique;466;1072;220;326.72;110.0;7.04;26;Allemand;2022-06-09;2025-02-23;876.72;Oui
RetroFableTV;Twitch;États-Unis;Cuisine;Chill;212;466;1;0.92;79.5;3.16;22;Anglais;2015-07-08;2025-02-03;3.42;Non
VividWhisper_Live;TikTok;Royaume-Uni;Horreur;Competitif;138;265;68;163.83;113.9;7.07;12;Anglais;2018-07-18;2025-01-11;333.83;Oui
EchoWhisperHQ;YouTube;Brésil;IRL;Educatif;1132;3748;624;852.68;81.2;7.06;17;Portugais;2018-12-20;2025-12-12;2412.68;Non
NovaShard_TV75;TikTok;Brésil;Horreur;Educatif;227;620;56;0.0;79.1;6.34;25;Portugais;2013-09-14;2025-09-15;140.0;Oui
SilentWardenFR;Twitch;Canada;Just Chatting;Educatif;1201;2234;438;111.1;71.8;7.84;25;Français;2021-07-02;2025-08-14;1206.1;Oui
PhantomDrakeTV;Twitch;Espagne;MMO;Esport;162;562;36;55.55;71.0;4.35;19;Espagnol;2020-01-22;2025-08-24;145.55;Oui
DriftGuardian;YouTube;Canada;Creation;Communautaire;1305;2829;431;0.0;78.3;6.15;11;Français;2012-07-31;2025-11-14;1077.5;Oui
ShadowFoxHQ;YouTube;États-Unis;Just Chatting;Competitif;327;681;120;153.01;36.3;6.66;12;Anglais;2022-09-23;2025-02-19;453.01;Oui
AeroWardenFR;Twitch;Royaume-Uni;IRL;Communautaire;202;442;89;139.39;58.3;7.95;10;Anglais;2013-11-21;2025-08-16;361.89;Oui
SableOrbitFR12;YouTube;Allemagne;Horreur;Esport;392;1201;189;202.26;117.1;4.71;5;Allemand;2016-06-05;2025-03-01;674.76;Oui
DarkShardX;YouTube;Suisse;MMO;Competitif;236;399;159;327.44;106.3;7.41;14;Allemand;2020-12-22;2025-06-01;724.94;Oui
NeoKnightTV;Twitch;Suisse;Musique;Esport;1001;2199;645;1306.73;118.9;7.13;16;Français;2012-09-27;2025-02-21;2919.23;Oui
MysticOrbitLive58;TikTok;Belgique;Just Chatting;Communautaire;1120;2435;94;160.19;57.0;4.42;15;Français;2020-01-13;2025-10-20;395.19;Non
SilentOrbitYT;Twitch;États-Unis;Cuisine;Communautaire;329;803;241;585.06;50.9;6.22;20;Anglais;2014-10-28;2025-07-09;1187.56;Oui
SilentDrakeHQ;YouTube;Espagne;Sport;Educatif;201;376;95;158.43;36.0;3.59;11;Espagnol;2020-11-18;2025-08-30;395.93;Oui
SilentWardenHQ33;TikTok;Espagne;Just Chatting;Communautaire;664;1576;130;241.8;69.0;4.52;14;Espagnol;2014-08-17;2025-01-16;566.8;Non
AeroGunnerYT;YouTube;Suisse;Creation;Competitif;313;1052;142;110.14;47.5;2.79;18;Français;2012-08-10;2025-07-13;465.14;Oui
IronWhisper_Live39;TikTok;Italie;Musique;Chill;211;432;133;59.64;108.1;5.48;9;Italien;2015-12-03;2025-05-17;392.14;Non
SilverHarbor_TV74;YouTube;France;Cuisine;Communautaire;137;277;53;38.59;49.1;6.57;25;Français;2022-11-03;2025-10-05;171.09;Oui
BlazingStormTV;Twitch;Belgique;IRL;Competitif;152;246;63;0.0;82.1;3.24;20;Néerlandais;2016-10-31;2025-09-19;157.5;Oui
RapidForge;Twitch;Belgique;Sport;Chill;133;391;107;209.66;85.4;3.15;24;Français;2020-03-29;2025-11-15;477.16;Non
AeroPixel83;TikTok;France;Cuisine;Communautaire;177;598;85;175.72;74.1;4.55;18;Français;2017-04-29;2025-01-20;388.22;Non
RetroStormYT;TikTok;Espagne;Cuisine;Communautaire;1204;3557;450;1114.42;106.9;2.04;15;Espagnol;2013-10-11;2025-12-25;2239.42;Oui
FrozenGuardian_TV;YouTube;France;Sport;Educatif;42;72;7;11.65;108.2;3.65;12;Français;2016-05-24;2025-04-06;29.15;Oui
DarkBladeX;YouTube;Italie;Sport;Communautaire;579;1720;126;221.69;39.7;7.46;16;Italien;2014-12-01;2025-10-23;536.69;Oui
NovaSageHQ;TikTok;Brésil;Creation;Esport;203;612;69;174.21;72.7;6.41;8;Portugais;2013-06-28;2025-05-01;346.71;Non
BlazingWardenTV96;TikTok;Canada;FPS;Humoristique;1096;2285;219;96.96;74.1;4.5;27;Anglais;2018-10-15;2025-10-05;644.46;Oui
GoldenRunnerLive;Twitch;Brésil;MMO;Chill;256;786;101;85.05;32.3;5.42;5;Portugais;2013-11-03;2025-06-24;337.55;Oui
ShadowGlyphTV23;Twitch;Italie;Just Chatting;Humoristique;1267;4409;594;1132.21;67.5;5.74;14;Italien;2016-05-21;2025-12-02;2617.21;Non
PhantomGunnerX;TikTok;Brésil;FPS;Chill;100;328;63;0.0;74.4;2.76;5;Portugais;2016-05-28;2025-06-21;157.5;Oui
VelvetSpecterX;Twitch;Canada;Sport;Educatif;1009;3136;592;632.02;118.6;6.75;16;Anglais;2015-11-16;2025-06-07;2112.02;Oui
MysticBeaconHQ20;YouTube;Brésil;Just Chatting;Communautaire;1636;5281;633;989.02;57.0;5.58;6;Portugais;2019-05-31;2025-06-15;2571.52;Non
BlazingHarborTV;Twitch;Canada;Just Chatting;Chill;586;2029;607;1726.57;38.8;4.43;28;Français;2022-02-07;2025-12-11;3244.07;Non
DriftBeaconLive;Twitch;Italie;IRL;Esport;872;1481;189;310.64;112.0;5.39;16;Italien;2017-04-04;2025-09-20;783.14;Oui
CrimsonDrakeHQ35;TikTok;France;Creation;Esport;164;473;92;150.92;103.3;4.4;19;Français;2015-06-25;2025-02-07;380.92;Non
AeroCasterYT;Twitch;Espagne;Tech;Communautaire;117;333;48;31.23;106.5;4.27;27;Espagnol;2015-03-28;2025-10-30;151.23;Oui
HyperShardTV;TikTok;Canada;Sport;Communautaire;476;745;108;164.97;101.4;6.06;21;Anglais;2019-04-11;2025-09-05;434.97;Oui
RuneFable_;YouTube;France;Tech;Educatif;921;2502;358;397.06;103.7;5.27;11;Français;2016-08-15;2025-02-12;1292.06;Oui
UrbanCasterYT;TikTok;Espagne;MMO;Humoristique;504;808;271;106.45;117.0;6.74;18;Espagnol;2013-05-19;2025-08-22;783.95;Non
GoldenBeaconFR40;YouTube;France;Creation;Humoristique;537;1364;356;738.22;115.3;2.47;11;Français;2014-08-21;2025-05-21;1628.22;Oui
AtomicDrakeX;TikTok;Brésil;IRL;Educatif;429;917;226;441.26;96.9;5.32;12;Portugais;2012-01-20;2025-01-20;1006.26;Non
EchoCircuitHQ;TikTok;Canada;Tech;Esport;924;2337;0;0.0;62.2;6.37;8;Français;2023-05-10;2025-02-23;0.0;Oui
FrozenHorizonTV;YouTube;États-Unis;Tech;Esport;1218;3957;120;228.18;82.4;6.07;10;Anglais;2020-08-21;2025-03-16;528.18;Non
HyperHorizon43;Twitch;Italie;MMO;Educatif;273;869;54;99.88;68.8;3.63;8;Italien;2013-05-28;2025-01-30;234.88;Oui
EchoCircuitFR23;Twitch;Allemagne;Cuisine;Chill;503;1419;413;361.45;40.9;2.87;13;Allemand;2014-02-27;2025-06-07;1393.95;Oui
TurboOrbitTV;TikTok;États-Unis;Musique;Esport;1966;3568;924;775.22;97.5;2.23;17;Anglais;2013-09-17;2025-03-09;3085.22;Oui
MysticSpecterX;YouTube;Royaume-Uni;IRL;Esport;971;2210;498;764.85;100.9;7.98;23;Anglais;2013-05-09;2025-01-01;2009.85;Oui
RetroPulse;Twitch;Belgique;Cuisine;Educatif;540;879;151;101.81;93.9;3.32;27;Néerlandais;2020-07-22;2025-06-22;479.31;Non
SolarCaster_TV;Twitch;Suisse;MMO;Esport;930;2558;330;468.57;65.1;4.79;12;Français;2016-04-23;2025-07-18;1293.57;Non
AtomicHarbor_Live;Twitch;Royaume-Uni;FPS;Esport;548;930;248;17.53;51.7;3.69;10;Anglais;2017-12-01;2025-12-06;637.53;Oui
HyperRiftYT45;TikTok;France;Sport;Esport;1660;3531;704;913.33;48.0;6.04;28;Français;2020-03-27;2025-01-04;2673.33;Non
CrimsonHorizon_;YouTube;Canada;Sport;Educatif;648;1181;289;655.18;87.7;4.62;12;Français;2016-01-07;2025-02-13;1377.68;Oui
DarkPulse;Twitch;États-Unis;Creation;Chill;729;2114;396;1128.99;74.1;4.8;8;Anglais;2022-04-30;2025-10-21;2118.99;Oui
RuneMatrix_TV;YouTube;États-Unis;Musique;Communautaire;1066;2394;392;147.82;60.3;5.31;23;Anglais;2017-09-28;2025-05-07;1127.82;Non
CrimsonDrake_;YouTube;Canada;Just Chatting;Communautaire;2526;4499;890;913.93;38.6;3.19;22;Anglais;2015-11-06;2025-10-18;3138.93;Oui
DarkPixelFR;TikTok;Allemagne;Musique;Educatif;59;166;27;44.52;32.0;2.93;7;Allemand;2014-05-21;2025-12-01;112.02;Oui
UrbanSpecterYT;YouTube;Royaume-Uni;IRL;Competitif;76;223;37;37.07;43.1;3.87;15;Anglais;2018-07-11;2025-07-05;129.57;Non
UrbanGuardian_TV7;Twitch;Espagne;IRL;Competitif;7780;13804;2226;2370.26;63.6;2.36;6;Espagnol;2012-05-04;2025-03-01;7935.26;Oui
VelvetCircuit;Twitch;Belgique;Just Chatting;Competitif;154;295;100;112.72;55.4;3.81;14;Français;2022-09-21;2025-09-15;362.72;Oui
UrbanBladeFR;Twitch;Canada;Horreur;Educatif;181;620;97;11.61;63.4;5.98;24;Français;2014-11-05;2025-08-07;254.11;Oui
RogueBeaconHQ;YouTube;Italie;Creation;Esport;802;2390;606;1252.36;80.7;4.4;25;Italien;2022-02-02;2025-12-23;2767.36;Oui
VegaForgeFR;Twitch;Belgique;Tech;Humoristique;813;1791;466;1495.72;90.5;4.62;14;Français;2022-01-16;2025-12-20;2660.72;Non
UrbanWardenYT75;TikTok;Allemagne;Cuisine;Competitif;1526;4688;744;1788.5;85.6;4.28;10;Allemand;2021-03-19;2025-09-17;3648.5;Oui
RapidZephyr_TV;YouTube;Allemagne;Sport;Chill;152;515;84;41.53;69.9;7.46;24;Allemand;2019-12-27;2025-11-22;251.53;Oui
CrimsonBeaconTV;Twitch;Espagne;Musique;Competitif;269;472;0;0.0;38.6;2.86;20;Espagnol;2020-04-13;2025-10-19;0.0;Oui
GoldenMatrix_TV;Twitch;Espagne;Tech;Competitif;198;390;123;232.49;94.6;2.83;22;Espagnol;2021-02-10;2025-02-08;539.99;Non
RuneRift_;YouTube;Espagne;Just Chatting;Educatif;1389;4819;254;644.75;96.5;5.73;26;Espagnol;2022-11-29;2025-01-21;1279.75;Non
CrimsonMatrixHQ;TikTok;États-Unis;IRL;Chill;4090;7071;2261;5178.48;84.3;5.16;27;Anglais;2020-04-19;2025-09-10;10830.98;Non
VividShardLive89;Twitch;États-Unis;Sport;Communautaire;486;853;143;323.35;82.5;7.48;20;Anglais;2012-03-26;2025-04-04;680.85;Non
RogueDrakeX4;YouTube;États-Unis;MMO;Communautaire;76;159;24;0.0;48.9;7.22;28;Anglais;2018-05-28;2025-12-31;60.0;Non
MysticCircuitX;YouTube;Royaume-Uni;Horreur;Humoristique;186;554;98;196.53;106.6;4.68;13;Anglais;2023-08-23;2025-12-10;441.53;Oui
SolarGunnerYT;YouTube;Royaume-Uni;Just Chatting;Esport;426;943;184;0.0;92.4;5.76;7;Anglais;2018-04-05;2025-01-26;460.0;Oui
TurboGlyph_;TikTok;Espagne;Musique;Humoristique;267;483;70;58.87;73.9;3.56;21;Espagnol;2017-03-07;2025-08-15;233.87;Oui
NeoOrbitYT49;TikTok;Brésil;Horreur;Chill;780;1803;177;158.47;68.5;2.31;14;Portugais;2023-10-02;2025-02-08;600.97;Non
NeoSpecterLive75;TikTok;Suisse;Just Chatting;Educatif;40;65;13;5.36;45.2;4.94;19;Allemand;2018-06-19;2025-10-29;37.86;Non
SableSpecterFR97;Twitch;Allemagne;Tech;Esport;440;1045;92;147.62;76.6;3.75;27;Allemand;2014-04-18;2025-11-24;377.62;Oui
GoldenMatrixX;Twitch;États-Unis;Just Chatting;Esport;344;734;252;503.3;74.6;7.13;8;Anglais;2019-11-22;2025-06-25;1133.3;Non
LunarCasterTV;TikTok;France;Horreur;Educatif;53;142;7;10.89;87.3;2.18;19;Français;2013-03-28;2025-06-08;28.39;Non
DriftCasterX36;YouTube;Suisse;IRL;Humoristique;145;315;0;0.0;48.9;7.95;7;Français;2015-05-24;2025-08-30;0.0;Oui
VelvetGuardianHQ46;TikTok;Royaume-Uni;Sport;Educatif;890;3046;448;399.92;82.9;2.65;10;Anglais;2014-11-07;2025-05-13;1519.92;Oui
DarkFableYT;Twitch;États-Unis;IRL;Educatif;645;1440;167;284.71;60.8;5.87;25;Anglais;2018-06-23;2025-11-21;702.21;Non
CrimsonFoxFR;Twitch;Espagne;Tech;Educatif;146;344;102;0.0;44.0;5.9;14;Espagnol;2015-06-19;2025-09-16;255.0;Oui
DriftKnight_;Twitch;France;Cuisine;Humoristique;1564;4792;637;643.71;32.1;2.76;13;Français;2021-02-06;2025-01-22;2236.21;Non
FrozenFox_Live56;Twitch;Espagne;MMO;Educatif;484;882;264;756.82;60.6;6.28;26;Espagnol;2013-01-20;2025-11-15;1416.82;Non
EchoForge;Twitch;Italie;Tech;Competitif;569;1367;126;196.01;50.9;3.02;6;Italien;2019-09-06;2025-07-19;511.01;Oui
SilentRunner_Live87;TikTok;États-Unis;FPS;Educatif;2976;9161;1992;4798.26;35.3;6.39;18;Anglais;2020-09-15;2025-11-18;9778.26;Oui
UrbanStormTV83;TikTok;Espagne;Just Chatting;Esport;968;2754;522;1387.87;99.1;4.01;22;Espagnol;2014-11-03;2025-04-22;2692.87;Non
RuneFableHQ70;Twitch;France;Musique;Chill;244;488;31;48.64;111.6;2.43;28;Français;2020-06-01;2025-09-09;126.14;Non
PhantomVortex_Live;Twitch;Suisse;Musique;Chill;164;490;30;23.39;56.8;7.69;18;Allemand;2014-09-08;2025-12-23;98.39;Non
RogueKnightX80;TikTok;Brésil;FPS;Humoristique;6209;13225;2652;4937.78;84.2;4.84;10;Portugais;2021-08-26;2025-07-01;11567.78;Oui
IronPixelHQ;Twitch;Canada;FPS;Educatif;105;174;3;2.04;54.4;6.78;13;Anglais;2018-06-07;2025-04-22;9.54;Oui
NovaKnightFR88;Twitch;Canada;MMO;Educatif;1962;6043;915;1920.21;34.1;4.73;10;Anglais;2019-06-16;2025-09-17;4207.71;Oui
ShadowStorm_TV;TikTok;Brésil;FPS;Chill;909;2697;256;739.32;73.8;3.76;22;Portugais;2020-10-15;2025-12-20;1379.32;Non
DarkZephyr_Live;TikTok;France;IRL;Chill;201;569;136;264.15;77.7;7.73;21;Français;2016-08-19;2025-01-17;604.15;Non
SilverGunnerFR;TikTok;Suisse;Sport;Competitif;56;103;14;0.0;114.1;2.9;11;Allemand;2016-09-19;2025-08-27;35.0;Non
SolarMatrix;YouTube;Suisse;Musique;Humoristique;1450;3147;572;0.0;54.3;6.77;5;Allemand;2020-12-13;2025-10-09;1430.0;Non
PhantomQuasar_TV;Twitch;Brésil;IRL;Educatif;609;1412;178;2.88;55.1;2.66;27;Portugais;2020-03-20;2025-06-16;447.88;Non
SilentZephyrLive42;TikTok;Allemagne;FPS;Competitif;2554;4494;1076;1298.27;82.7;3.18;23;Allemand;2018-09-05;2025-12-10;3988.27;Non
SilentSageTV11;YouTube;Allemagne;Cuisine;Chill;259;428;25;4.89;64.7;6.98;6;Allemand;2015-05-04;2025-11-09;67.39;Non
LunarKnight_TV26;YouTube;Belgique;Creation;Esport;1658;4682;506;770.17;88.4;7.93;13;Français;2017-12-12;2025-04-12;2035.17;Non
AeroPixelX35;YouTube;France;Sport;Chill;42;102;5;10.55;33.0;5.71;18;Français;2019-03-17;2025-07-31;23.05;Oui
DarkBlade_Live61;YouTube;Espagne;Sport;Educatif;611;1206;458;1302.07;70.6;3.12;13;Espagnol;2018-08-06;2025-10-03;2447.07;Non
SableGuardianLive;YouTube;Brésil;Tech;Competitif;313;1015;154;182.24;37.7;5.56;17;Portugais;2021-01-24;2025-09-06;567.24;Oui
RetroZephyrFR;Twitch;Canada;Sport;Communautaire;3867;11682;2435;4065.68;36.9;4.95;15;Anglais;2015-11-04;2025-12-15;10153.18;Non
SableStormHQ;YouTube;Canada;Musique;Competitif;502;932;345;717.45;117.1;2.46;24;Anglais;2015-03-09;2025-06-28;1579.95;Oui
SolarGunner;YouTube;Belgique;Horreur;Educatif;2240;5807;0;0.0;36.4;4.66;20;Français;2022-11-13;2025-03-24;0.0;Oui
NovaDrake_TV;TikTok;Suisse;Cuisine;Educatif;228;647;171;520.93;107.7;7.57;21;Allemand;2023-03-17;2025-10-27;948.43;Oui
IronBeaconLive49;TikTok;Suisse;Horreur;Communautaire;418;823;295;968.52;89.7;2.29;11;Allemand;2020-10-19;2025-11-22;1706.02;Oui
SilverSageTV;YouTube;Royaume-Uni;Cuisine;Educatif;437;962;390;572.78;87.1;3.1;17;Anglais;2023-08-11;2025-01-13;1547.78;Oui
VelvetHorizon;Twitch;France;Musique;Competitif;318;783;182;208.61;63.2;4.02;6;Français;2020-03-05;2025-01-07;663.61;Oui
CrimsonWardenTV;Twitch;Italie;Musique;Communautaire;443;1277;302;458.8;89.3;2.09;20;Italien;2017-04-07;2025-04-24;1213.8;Non
RapidPixelYT56;YouTube;Espagne;Horreur;Competitif;62;192;29;23.31;53.8;6.09;11;Espagnol;2017-02-08;2025-10-24;95.81;Oui
DriftStormHQ;TikTok;Italie;Just Chatting;Communautaire;1045;2885;563;1672.9;91.7;7.94;27;Italien;2017-10-31;2025-03-22;3080.4;Non
RogueGunnerLive43;TikTok;Suisse;Cuisine;Esport;1094;3442;676;561.69;96.7;2.76;12;Italien;2023-06-16;2025-04-20;2251.69;Oui
RapidCircuitTV;Twitch;Italie;Sport;Communautaire;976;2931;774;627.98;32.7;4.83;21;Italien;2014-05-08;2025-11-19;2562.98;Non
MysticCircuit_Live;Twitch;Italie;MMO;Communautaire;2921;9757;847;548.88;89.8;2.15;21;Italien;2013-05-26;2025-05-15;2666.38;Oui
RogueRunner_TV;Twitch;Espagne;Just Chatting;Humoristique;558;1534;303;730.76;50.8;6.34;19;Espagnol;2016-03-01;2025-09-05;1488.26;Non
SilverMatrixYT17;TikTok;Allemagne;Musique;Competitif;140;378;68;55.38;42.2;4.93;9;Allemand;2014-04-14;2025-06-11;225.38;Non
VegaGuardianYT;TikTok;Italie;Tech;Competitif;78;154;16;11.99;58.8;6.66;17;Italien;2021-12-04;2025-05-10;51.99;Non
ShadowHorizon;Twitch;Brésil;FPS;Communautaire;716;1212;451;12.08;93.4;4.37;27;Portugais;2015-11-22;2025-06-01;1139.58;Non
SableBladeX;TikTok;France;Sport;Educatif;594;1934;97;206.52;50.2;5.49;18;Français;2015-05-05;2025-11-25;449.02;Non
CrimsonZephyrX;TikTok;Belgique;MMO;Chill;203;464;38;87.39;57.4;7.76;7;Français;2015-01-07;2025-12-04;182.39;Oui
TurboKnight;TikTok;Belgique;MMO;Humoristique;211;507;71;0.0;47.4;5.44;23;Néerlandais;2019-05-24;2025-07-06;177.5;Oui
AeroBeaconLive;TikTok;Royaume-Uni;Sport;Chill;1142;3483;644;969.51;114.4;4.6;27;Anglais;2022-04-10;2025-08-04;2579.51;Non
AtomicSage_Live;TikTok;Brésil;Cuisine;Communautaire;75;165;48;40.02;85.7;6.51;7;Portugais;2021-02-07;2025-02-01;160.02;Oui
MysticForgeYT96;TikTok;Italie;Sport;Esport;245;435;211;168.03;64.0;7.9;23;Italien;2018-06-28;2025-05-01;695.53;Non
PhantomRiftLive;YouTube;Canada;Just Chatting;Communautaire;912;2583;467;882.71;96.4;3.18;26;Français;2021-05-18;2025-03-21;2050.21;Non
SilentHarborX;TikTok;Espagne;Musique;Competitif;550;1042;261;462.48;74.8;4.82;13;Espagnol;2014-03-20;2025-04-06;1114.98;Non
NovaPulse_Live36;YouTube;Suisse;MMO;Chill;381;671;267;50.02;88.1;6.86;23;Français;2012-08-19;2025-04-30;717.52;Non
SilentDrakeFR;TikTok;Canada;Creation;Humoristique;1240;2960;699;1536.68;39.4;3.96;6;Français;2017-04-20;2025-10-14;3284.18;Non
IronStormFR;Twitch;France;Just Chatting;Humoristique;1378;2107;525;0.0;96.2;3.41;20;Français;2019-03-27;2025-02-14;1312.5;Oui
SolarQuasarX;TikTok;Espagne;Tech;Chill;372;794;75;57.61;68.4;3.21;26;Espagnol;2021-11-09;2025-02-09;245.11;Oui
AtomicShardX;YouTube;Espagne;Horreur;Esport;102;335;31;28.0;64.3;7.58;11;Espagnol;2020-01-15;2025-05-14;105.5;Oui
AeroForgeLive;YouTube;Espagne;IRL;Educatif;29;57;15;55.8;87.5;5.04;10;Espagnol;2015-02-26;2025-12-19;93.3;Oui
ShadowRunnerTV;TikTok;Espagne;Sport;Communautaire;785;1228;282;407.56;113.1;2.8;25;Espagnol;2012-12-06;2025-03-30;1112.56;Non
IronBeaconFR;TikTok;Belgique;Creation;Esport;253;554;105;153.61;40.7;5.34;23;Français;2023-07-14;2025-02-13;416.11;Non
SilverHarborX22;Twitch;Belgique;Just Chatting;Humoristique;159;474;117;1.5;63.2;3.76;24;Français;2021-05-19;2025-06-23;294.0;Oui
DriftKnight_Live;Twitch;Brésil;Horreur;Esport;889;1689;337;1146.08;112.9;7.8;8;Portugais;2020-08-28;2025-02-11;1988.58;Non
PhantomBeacon_TV58;Twitch;Allemagne;FPS;Educatif;586;996;192;240.44;104.3;3.91;12;Allemand;2017-04-24;2025-07-15;720.44;Non
UrbanWardenYT;YouTube;Italie;Sport;Competitif;421;697;72;52.79;74.8;3.56;5;Italien;2015-11-27;2025-02-25;232.79;Non
PhantomBeaconYT;TikTok;Brésil;Creation;Educatif;56;172;12;19.13;103.4;5.57;5;Portugais;2021-07-23;2025-08-17;49.13;Oui
SableSpecterHQ;TikTok;Suisse;IRL;Communautaire;561;1799;2;2.73;54.6;5.33;10;Français;2020-06-15;2025-08-16;7.73;Non
FrozenQuasarX58;YouTube;Allemagne;Just Chatting;Chill;749;1593;275;238.21;92.1;5.35;27;Allemand;2015-03-24;2025-11-23;925.71;Non
FrozenFoxTV;YouTube;France;Just Chatting;Educatif;256;560;74;63.88;108.9;4.72;15;Français;2021-09-29;2025-02-27;248.88;Non
VividRift_Live14;Twitch;Suisse;Creation;Educatif;488;1421;420;317.65;78.7;6.4;13;Allemand;2020-06-28;2025-09-02;1367.65;Non
VividHorizon;Twitch;Italie;Just Chatting;Chill;284;585;110;89.39;69.6;6.91;25;Italien;2014-11-27;2025-07-02;364.39;Oui
ShadowSpecterX;Twitch;Suisse;MMO;Humoristique;1350;3689;0;0.0;65.3;4.45;28;Français;2019-03-23;2025-03-24;0.0;Oui
AtomicSpecter_Live17;YouTube;Allemagne;MMO;Competitif;992;1864;338;229.56;114.6;2.89;24;Allemand;2016-07-18;2025-07-03;1074.56;Non
SilverHorizonTV;YouTube;Suisse;MMO;Humoristique;655;1791;380;650.04;39.7;5.64;19;Français;2020-10-14;2025-12-27;1600.04;Oui
IronShard_Live;Twitch;Allemagne;Cuisine;Competitif;167;297;82;90.03;94.1;6.19;13;Allemand;2021-02-01;2025-04-01;295.03;Non
AeroRiftYT;YouTube;Suisse;Sport;Communautaire;915;1549;637;0.0;71.5;2.7;18;Français;2019-10-14;2025-04-10;1592.5;Non
DriftWarden;TikTok;Italie;Sport;Communautaire;455;1524;24;94.6;102.6;4.55;23;Italien;2014-11-18;2025-11-07;154.6;Non
EchoGlyphYT;TikTok;Allemagne;Musique;Communautaire;241;620;132;193.34;51.2;6.81;24;Allemand;2019-04-18;2025-12-22;523.34;Non
SilentRunnerTV;YouTube;Suisse;IRL;Humoristique;166;289;35;108.0;82.2;6.2;24;Italien;2014-08-30;2025-05-15;195.5;Oui
MysticRiftLive;TikTok;Brésil;Horreur;Educatif;1154;3832;910;1415.46;62.1;3.86;6;Portugais;2018-12-25;2025-03-15;3690.46;Non
BlazingBeaconTV30;Twitch;Allemagne;Horreur;Chill;553;1376;191;231.67;33.0;2.14;16;Allemand;2020-04-04;2025-05-09;709.17;Non
RetroStorm;Twitch;Allemagne;Horreur;Communautaire;128;302;53;37.67;114.1;6.8;12;Allemand;2022-12-15;2025-06-14;170.17;Oui
AeroShardTV25;TikTok;États-Unis;IRL;Communautaire;655;1856;284;507.7;30.0;2.17;27;Anglais;2012-07-08;2025-09-07;1217.7;Oui
DarkStormLive;Twitch;États-Unis;FPS;Humoristique;2546;8027;999;2254.47;117.0;3.68;18;Anglais;2013-05-27;2025-09-13;4751.97;Oui
FrozenMatrixLive;Twitch;États-Unis;IRL;Esport;3853;9735;2548;6760.28;80.7;2.83;23;Anglais;2012-08-20;2025-01-03;13130.28;Oui
DarkHarborX;Twitch;Espagne;Horreur;Humoristique;287;766;127;23.08;62.0;2.38;28;Espagnol;2021-12-30;2025-04-01;340.58;Oui
PrimeBladeTV;YouTube;Royaume-Uni;Tech;Esport;698;2035;317;482.91;119.9;3.93;12;Anglais;2012-08-16;2025-05-10;1275.41;Non
VegaGlyphHQ92;TikTok;Espagne;Just Chatting;Competitif;1248;2732;197;617.57;93.2;3.76;17;Espagnol;2017-03-14;2025-04-11;1110.07;Oui
SableHarborLive;TikTok;Royaume-Uni;Just Chatting;Esport;1087;3420;419;566.18;52.1;7.39;25;Anglais;2019-09-07;2025-02-03;1613.68;Oui
SolarFableX29;TikTok;Canada;Just Chatting;Chill;684;1309;481;770.37;56.2;3.2;6;Français;2012-12-03;2025-03-02;1972.87;Non
VelvetHorizon_Live;TikTok;Espagne;Creation;Chill;472;1458;190;623.58;66.5;6.63;13;Espagnol;2020-03-18;2025-11-24;1098.58;Oui
IronGunner_TV;TikTok;Allemagne;Tech;Competitif;268;870;105;311.16;56.2;7.6;20;Allemand;2017-03-29;2025-12-29;573.66;Oui
IronBeacon_Live;Twitch;Royaume-Uni;Musique;Chill;474;1618;297;174.85;93.3;7.5;19;Anglais;2023-12-01;2025-03-23;917.35;Oui
HyperPixel;Twitch;Italie;Musique;Competitif;321;995;223;183.68;90.3;7.31;26;Italien;2023-11-05;2025-07-12;741.18;Non
NeoHorizonLive;TikTok;France;MMO;Chill;341;1187;153;78.16;89.9;2.68;7;Français;2017-04-13;2025-10-05;460.66;Oui
HyperKnightLive;TikTok;Canada;Sport;Educatif;255;835;107;165.49;119.8;6.08;5;Anglais;2019-02-05;2025-05-03;432.99;Non
VividRunnerYT28;TikTok;Suisse;Sport;Humoristique;1649;3868;1167;751.45;54.3;2.38;7;Allemand;2016-02-23;2025-09-25;3668.95;Non
BlazingGunnerTV;YouTube;France;Musique;Competitif;455;909;243;732.97;118.2;6.21;10;Français;2017-11-19;2025-11-15;1340.47;Oui
